ticket_id,workspace_id,ticket_type,status,created_at,resolution_days
93,12,Feature Request,Closed,2025-02-11 08:43:38,1
94,12,Technical Issue,Resolved,2025-01-19 19:00:33,3
95,12,Technical Issue,Closed,2025-05-11 17:13:39,6
96,12,Billing,Open,2025-02-02 15:32:56,2
97,12,Technical Issue,Resolved,2025-06-26 11:32:47,10
98,12,Billing,Resolved,2025-01-13 07:19:37,12
99,12,Bug,Resolved,2025-03-20 04:33:49,11
100,12,Technical Issue,Closed,2025-06-27 12:29:33,1
101,12,Feature Request,Resolved,2025-06-20 12:35:22,1
102,13,Technical Issue,Resolved,2025-04-03 14:01:38,11
103,13,Technical Issue,Resolved,2025-05-13 09:38:20,1
104,13,Bug,Resolved,2025-04-12 04:44:45,7
105,15,Bug,Open,2025-03-31 08:50:39,6
106,15,Technical Issue,Resolved,2025-02-04 21:54:14,5
107,15,Feature Request,Open,2025-03-22 10:25:10,7
108,15,Billing,Open,2025-01-12 05:36:24,9
109,15,Feature Request,Open,2025-03-09 09:03:16,10
110,15,Technical Issue,Resolved,2025-02-25 11:59:47,7
111,15,Feature Request,Resolved,2025-06-08 08:18:38,7
112,15,Feature Request,Closed,2025-04-22 09:19:59,4
113,16,Bug,Closed,2025-04-22 15:08:28,13
114,16,Bug,Open,2025-04-12 09:36:28,12
115,16,Technical Issue,Resolved,2025-05-18 17:22:10,8
116,16,Bug,Closed,2025-02-04 21:16:26,8
117,16,Billing,Closed,2025-04-26 09:05:52,3
118,17,Billing,Resolved,2025-02-21 22:13:43,10
119,17,Feature Request,Closed,2025-04-14 23:51:15,13
120,17,Billing,Open,2025-06-28 12:15:03,11
121,17,Bug,Open,2025-05-01 04:51:27,9
122,17,Technical Issue,Closed,2025-04-12 19:48:39,8
123,17,Technical Issue,Open,2025-06-23 05:02:45,3
124,17,Billing,Closed,2025-03-13 21:32:58,3
125,18,Bug,Closed,2025-02-03 02:25:39,9
126,18,Billing,Open,2025-06-25 18:27:42,7
127,18,Billing,Closed,2025-04-06 03:33:49,4
128,18,Feature Request,Open,2025-06-16 10:40:31,11
129,18,Technical Issue,Open,2025-02-18 17:01:46,9
130,18,Technical Issue,Open,2025-01-21 20:57:37,9
131,18,Billing,Resolved,2025-03-31 18:00:35,2
132,19,Billing,Resolved,2025-06-12 00:57:50,7
133,19,Bug,Closed,2025-06-13 07:46:57,11
134,19,Billing,Resolved,2025-01-04 23:02:07,10
135,19,Technical Issue,Open,2025-03-14 02:58:45,9
136,20,Billing,Resolved,2025-04-03 12:31:25,6
137,20,Bug,Resolved,2025-06-09 23:06:15,9
138,21,Bug,Resolved,2025-04-09 19:19:46,6
139,21,Bug,Resolved,2025-06-08 03:49:43,3
140,21,Bug,Open,2025-06-28 07:35:11,10
141,21,Technical Issue,Closed,2025-04-05 00:26:44,1
142,21,Technical Issue,Closed,2025-01-29 12:35:19,12
143,22,Feature Request,Closed,2025-06-12 11:25:52,4
144,22,Feature Request,Resolved,2025-05-30 19:32:07,4
145,22,Technical Issue,Open,2025-06-17 17:41:57,1
146,22,Bug,Closed,2025-06-20 20:07:36,13
147,22,Bug,Open,2025-04-25 00:52:59,2
148,23,Technical Issue,Closed,2025-05-07 21:15:05,2
149,23,Feature Request,Closed,2025-03-04 06:22:54,6
150,23,Billing,Closed,2025-04-15 07:16:19,3
151,23,Billing,Open,2025-03-24 10:49:22,11
152,23,Bug,Open,2025-06-22 02:34:19,6
153,24,Technical Issue,Closed,2025-02-21 22:32:43,8
154,24,Technical Issue,Open,2025-04-03 21:05:23,2
155,24,Feature Request,Open,2025-06-18 08:42:44,8
156,24,Bug,Closed,2025-04-27 16:35:32,4
157,24,Bug,Open,2025-02-22 21:46:38,2
158,24,Technical Issue,Open,2025-06-12 05:07:17,11
159,24,Bug,Resolved,2025-01-31 07:01:58,10
160,24,Feature Request,Closed,2025-03-04 20:02:54,7
161,24,Billing,Open,2025-06-17 00:03:07,6
162,25,Technical Issue,Open,2025-05-12 21:02:18,8
163,25,Feature Request,Resolved,2025-06-22 07:36:18,4
164,25,Technical Issue,Open,2025-02-15 19:18:39,12
165,25,Billing,Resolved,2025-06-11 03:29:43,6
166,25,Feature Request,Open,2025-05-18 06:30:30,4
167,25,Billing,Closed,2025-04-29 03:10:01,2
168,25,Feature Request,Open,2025-05-11 02:00:44,1
169,25,Billing,Open,2025-06-09 23:05:15,1
170,25,Feature Request,Closed,2025-03-19 04:28:59,8
171,25,Billing,Resolved,2025-01-03 17:10:26,4
172,25,Technical Issue,Closed,2025-05-25 19:31:35,5
173,25,Billing,Resolved,2025-06-09 14:25:02,11
174,25,Billing,Resolved,2025-04-20 00:45:15,8
175,25,Technical Issue,Open,2025-03-29 08:31:13,12
176,26,Technical Issue,Resolved,2025-04-07 11:05:39,3
177,26,Bug,Open,2025-01-04 22:56:45,3
178,26,Bug,Resolved,2025-03-19 00:48:35,11
179,26,Technical Issue,Resolved,2025-01-12 12:35:19,13
180,26,Feature Request,Closed,2025-03-09 11:31:28,5
181,26,Technical Issue,Open,2025-03-30 09:24:43,1
182,26,Bug,Open,2025-01-18 07:34:40,10
183,27,Technical Issue,Closed,2025-06-25 08:43:43,10
184,27,Bug,Resolved,2025-05-30 06:41:38,10
185,27,Technical Issue,Closed,2025-01-09 17:50:44,3
186,27,Bug,Closed,2025-01-21 03:20:46,1
187,27,Billing,Closed,2025-03-28 20:31:37,8
188,27,Feature Request,Closed,2025-04-15 23:59:11,13
189,27,Technical Issue,Open,2025-05-02 04:38:09,10
190,28,Bug,Open,2025-06-06 15:56:33,11
191,28,Bug,Closed,2025-02-08 13:52:26,9
192,28,Bug,Closed,2025-03-29 16:27:32,6
193,29,Bug,Resolved,2025-01-20 01:50:38,10
194,29,Feature Request,Resolved,2025-04-01 20:21:29,11
195,29,Billing,Closed,2025-03-01 20:19:22,7
196,29,Feature Request,Resolved,2025-03-02 00:22:30,9
197,29,Billing,Resolved,2025-02-24 12:59:03,6
198,29,Technical Issue,Open,2025-04-02 08:11:13,3
199,29,Bug,Open,2025-03-11 03:44:21,7
200,29,Feature Request,Open,2025-04-18 04:48:33,5
201,29,Bug,Open,2025-06-04 20:43:49,1
202,29,Technical Issue,Open,2025-03-01 23:37:05,3
203,29,Technical Issue,Open,2025-02-16 08:47:50,5
204,29,Feature Request,Resolved,2025-03-30 21:04:57,7
205,29,Bug,Open,2025-01-18 03:57:24,3
206,29,Feature Request,Closed,2025-03-04 23:46:03,6
207,29,Feature Request,Resolved,2025-02-19 07:12:45,5
208,30,Billing,Open,2025-05-23 01:57:46,13
209,30,Billing,Open,2025-01-19 13:16:35,1
210,30,Technical Issue,Open,2025-04-16 11:48:47,2
211,31,Bug,Resolved,2025-05-07 20:57:48,9
212,31,Bug,Closed,2025-03-29 23:06:13,13
213,31,Billing,Closed,2025-02-21 05:22:07,2
214,31,Feature Request,Resolved,2025-05-24 02:05:28,13
215,31,Bug,Open,2025-03-28 10:34:38,11
216,31,Billing,Closed,2025-04-19 08:00:38,8
217,32,Technical Issue,Open,2025-04-13 12:26:44,3
218,32,Billing,Closed,2025-02-03 02:06:54,9
219,32,Feature Request,Resolved,2025-05-16 11:42:52,5
220,32,Billing,Open,2025-02-14 22:11:55,9
221,32,Billing,Open,2025-02-08 13:47:41,10
222,32,Bug,Open,2025-04-12 03:40:38,6
223,32,Bug,Resolved,2025-01-16 08:38:19,9
224,32,Technical Issue,Open,2025-05-26 06:20:22,7
225,32,Billing,Open,2025-05-15 22:02:10,7
226,32,Technical Issue,Resolved,2025-01-09 02:39:04,8
227,32,Technical Issue,Open,2025-04-28 01:46:30,7
228,32,Billing,Resolved,2025-02-15 07:29:00,12
229,32,Technical Issue,Open,2025-02-24 04:10:54,9
230,32,Feature Request,Open,2025-05-05 23:18:17,11
231,32,Technical Issue,Closed,2025-04-25 08:22:15,9
232,32,Feature Request,Resolved,2025-03-23 13:12:22,6
233,32,Billing,Resolved,2025-06-21 02:51:56,7
234,32,Billing,Open,2025-02-02 02:11:05,2
235,33,Bug,Resolved,2025-02-17 20:15:36,2
236,33,Technical Issue,Closed,2025-04-07 05:45:42,9
237,33,Bug,Closed,2025-03-23 16:26:30,13
238,33,Billing,Resolved,2025-04-17 21:28:26,10
239,34,Feature Request,Open,2025-03-14 02:29:17,3
240,34,Feature Request,Resolved,2025-01-24 05:02:04,8
241,34,Billing,Resolved,2025-04-04 02:38:56,6
242,34,Technical Issue,Resolved,2025-03-18 02:29:29,10
243,34,Billing,Closed,2025-05-22 01:16:56,5
244,34,Billing,Resolved,2025-06-09 01:35:28,13
245,34,Feature Request,Resolved,2025-04-25 10:08:03,2
246,35,Bug,Resolved,2025-02-18 14:59:07,7
247,35,Feature Request,Resolved,2025-04-15 00:06:20,9
248,35,Technical Issue,Resolved,2025-04-03 13:04:13,2
249,35,Bug,Open,2025-02-20 12:54:48,12
250,35,Billing,Closed,2025-05-15 18:07:18,1
251,35,Feature Request,Closed,2025-01-30 20:04:14,2
252,36,Billing,Open,2025-01-11 21:43:25,5
253,36,Technical Issue,Closed,2025-01-21 13:29:44,1
254,36,Bug,Resolved,2025-04-04 09:46:20,12
255,37,Bug,Open,2025-04-15 12:49:19,11
256,37,Technical Issue,Open,2025-01-29 13:16:13,12
257,37,Billing,Closed,2025-03-30 03:14:21,10
258,37,Billing,Closed,2025-04-11 15:54:58,3
259,38,Billing,Resolved,2025-06-08 06:27:15,11
260,38,Technical Issue,Resolved,2025-06-27 01:43:29,4
261,38,Feature Request,Closed,2025-03-27 06:01:40,9
262,38,Bug,Open,2025-04-06 02:32:34,2
263,38,Feature Request,Closed,2025-05-04 20:43:45,5
264,38,Bug,Open,2025-03-10 05:53:03,1
265,38,Bug,Closed,2025-06-22 18:06:53,4
266,38,Feature Request,Open,2025-03-02 15:29:54,4
267,39,Feature Request,Open,2025-01-20 01:04:28,1
268,39,Billing,Closed,2025-01-25 08:58:16,5
269,39,Billing,Resolved,2025-06-29 19:30:21,8
270,39,Billing,Resolved,2025-02-23 19:09:33,2
271,39,Bug,Closed,2025-01-30 11:52:59,13
272,39,Bug,Open,2025-05-22 11:46:11,5
273,39,Billing,Resolved,2025-02-28 21:40:25,12
274,39,Feature Request,Closed,2025-02-28 08:31:32,8
275,39,Bug,Closed,2025-01-08 07:25:16,10
276,39,Feature Request,Open,2025-01-03 16:33:26,5
277,39,Feature Request,Resolved,2025-06-20 16:15:26,2
278,39,Bug,Closed,2025-01-07 21:57:24,3
279,39,Feature Request,Closed,2025-04-25 14:09:27,6
280,39,Billing,Resolved,2025-03-23 18:59:33,11
281,39,Feature Request,Resolved,2025-06-22 01:33:04,11
282,39,Billing,Resolved,2025-02-10 20:45:09,5
283,39,Technical Issue,Resolved,2025-04-28 13:24:52,11
284,40,Bug,Closed,2025-04-23 10:44:02,9
285,40,Technical Issue,Closed,2025-04-26 12:46:59,3
286,40,Feature Request,Resolved,2025-04-27 21:41:23,10
287,40,Technical Issue,Open,2025-06-06 17:15:04,7
288,41,Bug,Open,2025-03-31 01:14:13,13
289,41,Feature Request,Open,2025-03-01 15:27:02,11
290,41,Technical Issue,Closed,2025-05-26 00:44:24,9
291,41,Technical Issue,Open,2025-04-17 12:07:32,8
292,41,Technical Issue,Closed,2025-02-06 03:28:15,11
293,41,Billing,Open,2025-02-23 17:19:51,7
294,41,Bug,Open,2025-05-22 03:23:35,10
295,42,Technical Issue,Open,2025-01-07 14:05:12,2
296,42,Bug,Closed,2025-02-01 11:00:39,9
297,42,Feature Request,Closed,2025-01-14 10:50:45,12
298,42,Feature Request,Resolved,2025-05-08 17:27:32,13
299,42,Bug,Closed,2025-06-25 14:13:24,3
300,42,Feature Request,Resolved,2025-06-08 16:55:59,9
301,43,Technical Issue,Resolved,2025-05-04 23:21:53,6
302,43,Technical Issue,Open,2025-02-25 23:47:02,8
303,43,Billing,Open,2025-03-27 02:47:34,10
304,43,Technical Issue,Open,2025-01-13 15:18:50,12
305,43,Billing,Resolved,2025-05-03 20:24:00,5
306,44,Feature Request,Closed,2025-01-20 23:11:02,3
307,44,Bug,Resolved,2025-06-28 07:43:38,2
308,44,Technical Issue,Resolved,2025-04-26 06:42:40,11
309,44,Bug,Closed,2025-04-08 19:21:53,13
310,44,Billing,Open,2025-03-28 01:54:47,9
311,44,Bug,Closed,2025-01-16 16:51:34,3
312,44,Feature Request,Open,2025-01-06 21:31:28,13
313,45,Feature Request,Open,2025-04-03 10:27:05,2
314,45,Billing,Closed,2025-05-09 06:10:40,9
315,45,Feature Request,Resolved,2025-04-23 02:34:48,13
316,45,Bug,Closed,2025-05-08 00:26:10,3
317,45,Feature Request,Closed,2025-06-29 15:32:36,8
318,46,Billing,Closed,2025-05-20 05:50:35,1
319,46,Bug,Closed,2025-06-23 18:07:21,4
320,46,Feature Request,Closed,2025-01-11 04:25:11,1
321,47,Technical Issue,Resolved,2025-03-13 18:48:20,4
322,47,Feature Request,Closed,2025-02-10 21:01:36,3
323,47,Billing,Resolved,2025-02-03 07:53:32,5
324,47,Bug,Closed,2025-05-03 22:46:59,11
325,48,Feature Request,Closed,2025-03-01 19:47:42,11
326,48,Feature Request,Resolved,2025-06-10 12:21:58,13
327,48,Bug,Resolved,2025-02-17 07:02:45,13
328,48,Billing,Open,2025-01-29 22:38:59,9
329,48,Technical Issue,Open,2025-05-11 16:42:11,4
330,48,Bug,Resolved,2025-03-05 14:31:02,12
331,48,Bug,Closed,2025-02-23 04:24:52,9
332,48,Billing,Resolved,2025-03-25 18:25:19,13
333,49,Technical Issue,Resolved,2025-04-21 20:37:27,1
334,49,Billing,Open,2025-03-03 12:34:46,13
335,49,Feature Request,Open,2025-03-23 06:26:30,13
336,49,Billing,Open,2025-02-19 07:59:03,10
337,49,Technical Issue,Open,2025-05-04 10:24:49,12
338,50,Bug,Open,2025-05-17 15:11:11,1
339,50,Billing,Resolved,2025-05-13 02:15:05,8
340,50,Technical Issue,Closed,2025-06-12 23:21:41,13
341,50,Feature Request,Resolved,2025-01-20 22:52:52,11
342,50,Billing,Resolved,2025-01-04 14:16:31,2
343,50,Technical Issue,Resolved,2025-01-07 11:19:24,1
344,50,Bug,Closed,2025-03-23 04:41:30,11
345,51,Feature Request,Open,2025-06-07 10:14:31,11
346,51,Feature Request,Closed,2025-04-21 22:21:16,5
347,51,Bug,Open,2025-04-28 02:25:28,1
348,52,Billing,Open,2025-02-26 13:58:19,7
349,52,Technical Issue,Open,2025-01-05 07:48:24,4
350,52,Billing,Closed,2025-03-18 04:23:02,10
351,52,Bug,Open,2025-04-21 15:46:45,6
352,52,Feature Request,Open,2025-04-08 23:08:30,8
353,52,Technical Issue,Resolved,2025-04-13 01:15:13,9
354,52,Bug,Open,2025-04-23 08:38:06,6
355,52,Bug,Closed,2025-06-01 18:25:31,12
356,52,Billing,Resolved,2025-01-25 05:40:55,11
357,53,Bug,Closed,2025-02-04 09:38:27,6
358,53,Billing,Closed,2025-02-27 09:33:13,4
359,53,Billing,Closed,2025-05-21 22:23:19,1
360,53,Technical Issue,Closed,2025-05-26 14:46:06,8
361,54,Feature Request,Open,2025-06-26 07:43:23,8
362,54,Billing,Closed,2025-03-11 13:33:50,6
363,54,Bug,Open,2025-04-19 04:27:20,13
364,54,Billing,Resolved,2025-01-11 15:30:08,4
365,55,Technical Issue,Open,2025-04-04 20:33:54,11
366,55,Technical Issue,Resolved,2025-04-25 05:37:57,11
367,55,Billing,Open,2025-01-22 17:56:28,1
368,55,Bug,Resolved,2025-05-10 10:27:10,5
369,55,Feature Request,Resolved,2025-01-15 08:03:46,7
370,55,Billing,Open,2025-06-10 21:52:26,3
371,55,Feature Request,Resolved,2025-04-04 19:18:12,9
372,55,Feature Request,Open,2025-05-31 02:09:56,8
373,55,Technical Issue,Resolved,2025-02-08 04:06:34,13
374,55,Billing,Closed,2025-06-04 00:03:03,3
375,55,Feature Request,Resolved,2025-04-27 19:30:52,5
376,55,Billing,Resolved,2025-03-22 07:53:21,7
377,55,Billing,Open,2025-06-29 09:02:09,12
378,56,Technical Issue,Open,2025-02-13 17:31:59,10
379,56,Technical Issue,Open,2025-03-01 17:33:09,2
380,56,Feature Request,Open,2025-05-19 18:52:26,7
381,57,Bug,Open,2025-05-28 11:15:34,6
382,57,Technical Issue,Resolved,2025-02-27 15:10:47,4
383,57,Billing,Resolved,2025-05-05 18:13:23,1
384,57,Technical Issue,Open,2025-04-28 22:18:20,2
385,57,Technical Issue,Resolved,2025-05-30 00:32:55,3
386,58,Technical Issue,Open,2025-01-24 02:18:25,9
387,58,Feature Request,Closed,2025-05-27 08:12:06,10
388,58,Feature Request,Open,2025-05-03 13:18:41,4
389,58,Technical Issue,Closed,2025-02-23 15:06:36,4
390,58,Feature Request,Open,2025-02-01 13:50:51,9
391,58,Technical Issue,Open,2025-05-30 16:17:46,13
392,59,Feature Request,Closed,2025-05-10 11:25:25,9
393,59,Feature Request,Resolved,2025-02-15 15:25:16,3
394,59,Bug,Resolved,2025-02-09 06:24:10,4
395,59,Feature Request,Resolved,2025-02-19 13:21:39,1
396,59,Bug,Closed,2025-04-30 23:39:24,1
397,59,Billing,Open,2025-01-06 19:00:32,1
398,59,Bug,Resolved,2025-02-05 17:32:32,9
399,59,Bug,Resolved,2025-05-12 08:57:01,11
400,59,Bug,Resolved,2025-04-18 16:33:32,8
401,60,Bug,Closed,2025-04-09 07:10:11,9
402,60,Billing,Closed,2025-01-19 02:11:57,10
403,60,Technical Issue,Closed,2025-05-02 21:56:20,12
404,60,Technical Issue,Open,2025-05-07 23:36:52,13
405,60,Feature Request,Open,2025-01-16 19:39:02,8
406,60,Bug,Resolved,2025-06-25 01:49:14,7
407,60,Technical Issue,Closed,2025-05-25 10:59:36,3
408,60,Feature Request,Open,2025-03-05 16:27:10,8
409,61,Feature Request,Closed,2025-04-12 15:26:43,4
410,61,Billing,Open,2025-04-15 02:18:44,5
411,61,Bug,Closed,2025-01-25 06:14:34,10
412,61,Feature Request,Open,2025-04-11 03:25:18,13
413,62,Technical Issue,Closed,2025-05-11 20:06:34,12
414,62,Technical Issue,Closed,2025-04-25 19:17:08,3
415,62,Bug,Closed,2025-04-03 16:31:21,8
416,62,Feature Request,Closed,2025-02-17 02:23:02,13
417,62,Technical Issue,Closed,2025-03-03 19:19:54,8
418,62,Bug,Closed,2025-03-22 20:49:01,11
419,62,Technical Issue,Closed,2025-02-24 22:54:49,11
420,62,Technical Issue,Closed,2025-05-17 02:24:14,6
421,63,Technical Issue,Open,2025-06-18 00:44:39,4
422,63,Billing,Resolved,2025-02-17 22:31:02,12
423,64,Billing,Open,2025-02-07 08:45:42,13
424,64,Feature Request,Resolved,2025-04-01 02:28:19,2
425,64,Bug,Open,2025-06-13 11:32:28,6
426,65,Bug,Resolved,2025-01-23 11:25:57,9
427,65,Feature Request,Closed,2025-02-28 17:59:39,10
428,65,Billing,Open,2025-02-18 16:21:24,10
429,65,Feature Request,Resolved,2025-06-20 10:47:25,13
430,65,Feature Request,Resolved,2025-02-16 22:39:39,7
431,65,Billing,Open,2025-06-14 03:10:54,12
432,65,Technical Issue,Resolved,2025-03-21 11:45:43,5
433,66,Bug,Resolved,2025-02-07 00:40:20,10
434,66,Technical Issue,Open,2025-05-04 21:13:01,13
435,66,Billing,Open,2025-03-14 01:35:18,12
436,66,Billing,Open,2025-04-10 11:20:03,7
437,66,Bug,Open,2025-02-25 08:41:59,13
438,66,Technical Issue,Open,2025-05-21 00:39:14,13
439,67,Feature Request,Closed,2025-04-24 00:42:16,9
440,67,Technical Issue,Closed,2025-01-25 11:26:06,2
441,67,Feature Request,Resolved,2025-05-26 19:51:08,11
442,67,Feature Request,Closed,2025-01-03 12:51:49,2
443,67,Bug,Resolved,2025-06-03 16:07:16,7
444,68,Feature Request,Open,2025-03-19 14:54:06,11
445,68,Technical Issue,Open,2025-06-10 02:42:56,9
446,68,Technical Issue,Resolved,2025-05-29 21:09:31,13
447,68,Feature Request,Closed,2025-04-01 00:56:48,9
448,69,Bug,Resolved,2025-01-28 10:05:56,6
449,69,Feature Request,Closed,2025-03-14 01:40:12,13
450,69,Bug,Open,2025-05-30 14:28:48,5
451,69,Billing,Open,2025-05-08 07:29:42,1
452,69,Feature Request,Resolved,2025-03-06 03:43:19,4
453,69,Feature Request,Open,2025-01-18 10:20:53,3
454,69,Technical Issue,Resolved,2025-01-27 08:54:46,1
455,69,Feature Request,Resolved,2025-02-26 04:55:35,12
456,70,Feature Request,Resolved,2025-06-21 02:01:31,7
457,70,Bug,Resolved,2025-02-24 11:15:54,3
458,70,Feature Request,Resolved,2025-02-09 23:56:48,9
459,70,Bug,Resolved,2025-04-03 17:07:44,11
460,70,Bug,Open,2025-03-03 11:52:49,5
461,70,Bug,Closed,2025-05-14 02:05:07,8
462,70,Billing,Resolved,2025-02-04 00:55:48,11
463,70,Bug,Closed,2025-02-13 09:24:14,6
464,70,Technical Issue,Open,2025-06-22 05:38:19,12
465,70,Technical Issue,Open,2025-02-16 01:30:06,10
466,71,Billing,Open,2025-05-09 00:30:46,12
467,71,Bug,Open,2025-05-25 15:04:55,8
468,71,Feature Request,Closed,2025-04-08 08:44:59,2
469,71,Technical Issue,Open,2025-06-04 13:46:17,12
470,71,Feature Request,Closed,2025-05-29 23:57:11,4
471,71,Technical Issue,Open,2025-03-16 03:38:51,10
472,72,Billing,Open,2025-04-13 14:41:02,2
473,72,Billing,Closed,2025-02-19 00:01:18,9
474,72,Technical Issue,Open,2025-05-13 18:26:23,9
475,72,Billing,Resolved,2025-06-03 06:42:32,1
476,72,Feature Request,Open,2025-03-10 01:51:28,6
477,72,Billing,Resolved,2025-05-25 17:16:30,10
478,73,Technical Issue,Closed,2025-01-13 19:07:04,6
479,73,Technical Issue,Resolved,2025-04-15 05:56:15,2
480,73,Technical Issue,Resolved,2025-04-09 15:19:57,3
481,73,Feature Request,Closed,2025-03-05 04:08:27,8
482,73,Technical Issue,Resolved,2025-02-14 09:35:06,10
483,73,Technical Issue,Closed,2025-01-05 09:29:50,7
484,73,Bug,Resolved,2025-05-29 16:18:17,10
485,73,Billing,Closed,2025-02-12 03:24:27,6
486,74,Billing,Resolved,2025-04-21 08:05:30,4
487,74,Bug,Open,2025-05-29 19:38:17,10
488,74,Technical Issue,Closed,2025-05-17 00:35:32,7
489,74,Bug,Closed,2025-05-15 05:55:13,8
490,75,Technical Issue,Open,2025-04-11 02:27:36,1
491,75,Billing,Open,2025-02-10 04:09:15,4
492,75,Technical Issue,Resolved,2025-02-01 00:17:35,7
493,75,Billing,Open,2025-05-04 05:30:53,11
